,0,1,2,3,4,5,6,7,8,9,10,11,AIC,BIC
2213,1,0,0,0,1,0,1,0,0,1,0,1,39.98132697,80.04537702
405,0,0,0,1,1,0,0,1,0,1,0,1,39.98422257,80.04827262
155,0,0,0,0,1,0,0,1,1,0,1,1,39.98448947,80.04853952
900,0,0,1,1,1,0,0,0,0,1,0,0,42.34906661,80.05640784
203,0,0,0,0,1,1,0,0,1,0,1,1,39.99764608,80.06169614
2116,1,0,0,0,0,1,0,0,0,1,0,0,44.7233583,80.0739907
177,0,0,0,0,1,0,1,1,0,0,0,1,42.38437241,80.09171364
2060,1,0,0,0,0,0,0,0,1,1,0,0,44.74860697,80.09923937
713,0,0,1,0,1,1,0,0,1,0,0,1,40.03569453,80.09974458
681,0,0,1,0,1,0,1,0,1,0,0,1,40.03694999,80.10100004
661,0,0,1,0,1,0,0,1,0,1,0,1,40.03862387,80.10267392
37,0,0,0,0,0,0,1,0,0,1,0,1,44.76354886,80.11418127
1225,0,1,0,0,1,1,0,0,1,0,0,1,40.05386562,80.11791567
1221,0,1,0,0,1,1,0,0,0,1,0,1,40.07908607,80.14313612
665,0,0,1,0,1,0,0,1,1,0,0,1,40.08066452,80.14471457
2697,1,0,1,0,1,0,0,0,1,0,0,1,40.11908851,80.18313856
292,0,0,0,1,0,0,1,0,0,1,0,0,44.83914824,80.18978064
1189,0,1,0,0,1,0,1,0,0,1,0,1,40.13670384,80.20075389
1673,0,1,1,0,1,0,0,0,1,0,0,1,40.14284823,80.20689829
457,0,0,0,1,1,1,0,0,1,0,0,1,40.15042584,80.2144759
395,0,0,0,1,1,0,0,0,1,0,1,1,40.15403358,80.21808363
905,0,0,1,1,1,0,0,0,1,0,0,1,40.17021713,80.23426718
2187,1,0,0,0,1,0,0,0,1,0,1,1,40.17311013,80.23716018
651,0,0,1,0,1,0,0,0,1,0,1,1,40.17908117,80.24313122
1668,0,1,1,0,1,0,0,0,0,1,0,0,42.54516786,80.25250909
2753,1,0,1,0,1,1,0,0,0,0,0,1,40.19048622,80.25453627
3456,1,1,0,1,1,0,0,0,0,0,0,0,42.54922985,80.25657108
404,0,0,0,1,1,0,0,1,0,1,0,0,42.54938621,80.25672744
709,0,0,1,0,1,1,0,0,0,1,0,1,40.19781301,80.26186306
2249,1,0,0,0,1,1,0,0,1,0,0,1,40.20915903,80.27320909
425,0,0,0,1,1,0,1,0,1,0,0,1,40.21085373,80.27490378
1669,0,1,1,0,1,0,0,0,0,1,0,1,40.21840311,80.28245316
167,0,0,0,0,1,0,1,0,0,1,1,1,40.21907578,80.28312584
2693,1,0,1,0,1,0,0,0,0,1,0,1,40.23055521,80.29460527
391,0,0,0,1,1,0,0,0,0,1,1,1,40.24388225,80.30793231
652,0,0,1,0,1,0,0,0,1,1,0,0,42.60082047,80.3081617
2448,1,0,0,1,1,0,0,1,0,0,0,0,42.60103159,80.30837282
1536,0,1,1,0,0,0,0,0,0,0,0,0,47.3171093,80.31103287
1412,0,1,0,1,1,0,0,0,0,1,0,0,42.60656957,80.3139108
647,0,0,1,0,1,0,0,0,0,1,1,1,40.25912265,80.3231727
1173,0,1,0,0,1,0,0,1,0,1,0,1,40.27492322,80.33897328
1177,0,1,0,0,1,0,0,1,1,0,0,1,40.28086342,80.34491347
2196,1,0,0,0,1,0,0,1,0,1,0,0,42.63824387,80.3455851
1026,0,1,0,0,0,0,0,0,0,0,1,0,47.35552217,80.34944574
2250,1,0,0,0,1,1,0,0,1,0,1,0,40.29444795,80.358498
1424,0,1,0,1,1,0,0,1,0,0,0,0,42.65875657,80.36609779
1163,0,1,0,0,1,0,0,0,1,0,1,1,40.30647699,80.37052704
2245,1,0,0,0,1,1,0,0,0,1,0,1,40.30856469,80.37261474
1312,0,1,0,1,0,0,1,0,0,0,0,0,45.02226935,80.37290175
2183,1,0,0,0,1,0,0,0,0,1,1,1,40.31098606,80.37503611
1417,0,1,0,1,1,0,0,0,1,0,0,1,40.31703201,80.38108206
660,0,0,1,0,1,0,0,1,0,1,0,0,42.68520494,80.39254617
1219,0,1,0,0,1,1,0,0,0,0,1,1,40.33404124,80.39809129
14,0,0,0,0,0,0,0,0,1,1,1,0,45.04787022,80.39850262
1060,0,1,0,0,0,0,1,0,0,1,0,0,45.04998461,80.40061701
2437,1,0,0,1,1,0,0,0,0,1,0,1,40.34093179,80.40498184
142,0,0,0,0,1,0,0,0,1,1,1,0,42.70562633,80.41296756
199,0,0,0,0,1,1,0,0,0,1,1,1,40.35222362,80.41627367
451,0,0,0,1,1,1,0,0,0,0,1,1,40.36127113,80.42532119
2243,1,0,0,0,1,1,0,0,0,0,1,1,40.36425194,80.428302
2336,1,0,0,1,0,0,1,0,0,0,0,0,45.0782279,80.4288603
961,0,0,1,1,1,1,0,0,0,0,0,1,40.38046537,80.44451542
1729,0,1,1,0,1,1,0,0,0,0,0,1,40.3829397,80.44698976
3205,1,1,0,0,1,0,0,0,0,1,0,1,40.38535559,80.44940564
97,0,0,0,0,0,1,1,0,0,0,0,1,45.10115363,80.45178603
453,0,0,0,1,1,1,0,0,0,1,0,1,40.39141062,80.45546067
707,0,0,1,0,1,1,0,0,0,0,1,1,40.40049209,80.46454215
1249,0,1,0,0,1,1,1,0,0,0,0,1,40.41477221,80.47882226
721,0,0,1,0,1,1,0,1,0,0,0,1,40.42246589,80.48651595
2498,1,0,0,1,1,1,0,0,0,0,1,0,40.4296968,80.49374685
653,0,0,1,0,1,0,0,0,1,1,0,1,40.43738787,80.50143792
3266,1,1,0,0,1,1,0,0,0,0,1,0,40.44487794,80.50892799
2441,1,0,0,1,1,0,0,0,1,0,0,1,40.44887928,80.51292933
26,0,0,0,0,0,0,0,1,1,0,1,0,45.16499465,80.51562705
171,0,0,0,0,1,0,1,0,1,0,1,1,40.45887922,80.52292927
1474,0,1,0,1,1,1,0,0,0,0,1,0,40.45995268,80.52400273
1057,0,1,0,0,0,0,1,0,0,0,0,1,45.17557833,80.52621073
737,0,0,1,0,1,1,1,0,0,0,0,1,40.466885,80.53093506
3008,1,0,1,1,1,1,0,0,0,0,0,0,40.47549422,80.53954427
3776,1,1,1,0,1,1,0,0,0,0,0,0,40.48023389,80.54428395
1984,0,1,1,1,1,1,0,0,0,0,0,0,40.48330215,80.54735221
1222,0,1,0,0,1,1,0,0,0,1,1,0,40.48623141,80.55028146
1730,0,1,1,0,1,1,0,0,0,0,1,0,40.48871685,80.5527669
1732,0,1,1,0,1,1,0,0,0,1,0,0,40.48919194,80.553242
724,0,0,1,0,1,1,0,1,0,1,0,0,40.49092408,80.55497413
1226,0,1,0,0,1,1,0,0,1,0,1,0,40.4917909,80.55584096
521,0,0,1,0,0,0,0,0,1,0,0,1,45.21073603,80.56136843
1250,0,1,0,0,1,1,1,0,0,0,1,0,40.50163576,80.56568582
2217,1,0,0,0,1,0,1,0,1,0,0,1,40.51474076,80.57879081
1188,0,1,0,0,1,0,1,0,0,1,0,0,42.8729977,80.58033892
454,0,0,0,1,1,1,0,0,0,1,1,0,40.52021091,80.58426096
3202,1,1,0,0,1,0,0,0,0,0,1,0,42.87710939,80.58445062
962,0,0,1,1,1,1,0,0,0,0,1,0,40.5211543,80.58520435
1744,0,1,1,0,1,1,0,1,0,0,0,0,40.52159618,80.58564623
744,0,0,1,0,1,1,1,0,1,0,0,0,40.52262168,80.58667174
1736,0,1,1,0,1,1,0,0,1,0,0,0,40.52288128,80.58693133
976,0,0,1,1,1,1,0,1,0,0,0,0,40.52565346,80.58970351
740,0,0,1,0,1,1,1,0,0,1,0,0,40.52571794,80.58976799
466,0,0,0,1,1,1,0,1,0,0,1,0,40.52629087,80.59034092
458,0,0,0,1,1,1,0,0,1,0,1,0,40.52801712,80.59206717
964,0,0,1,1,1,1,0,0,0,1,0,0,40.528053,80.59210306
1234,0,1,0,0,1,1,0,1,0,0,1,0,40.52808026,80.59213031
2754,1,0,1,0,1,1,0,0,0,0,1,0,40.52854958,80.59259963
968,0,0,1,1,1,1,0,0,1,0,0,0,40.5300984,80.59414845
214,0,0,0,0,1,1,0,1,0,1,1,0,40.53021903,80.59426909
2258,1,0,0,0,1,1,0,1,0,0,1,0,40.53198425,80.59603431
2760,1,0,1,0,1,1,0,0,1,0,0,0,40.53411134,80.59816139
2756,1,0,1,0,1,1,0,0,0,1,0,0,40.53438707,80.59843713
992,0,0,1,1,1,1,1,0,0,0,0,0,40.53445695,80.59850701
482,0,0,0,1,1,1,1,0,0,0,1,0,40.53562384,80.5996739
