,0,1,2,3,4,5,6,7,8,9,10,AIC,BIC
481,0,0,1,1,1,1,0,0,0,0,1,38.41869314,76.12603437
89,0,0,0,0,1,0,1,1,0,0,1,40.78056523,76.13119763
1603,1,1,0,0,1,0,0,0,0,1,1,38.44607628,76.15341751
583,0,1,0,0,1,0,0,0,1,1,1,38.44787703,76.15521826
536,0,1,0,0,0,0,1,1,0,0,0,43.17182067,76.16574424
737,0,1,0,1,1,1,0,0,0,0,1,38.46305065,76.17039187
44,0,0,0,0,0,1,0,1,1,0,0,43.18021511,76.17413868
3,0,0,0,0,0,0,0,0,0,1,1,45.54385752,76.18107226
1605,1,1,0,0,1,0,0,0,1,0,1,38.48150212,76.18884335
740,0,1,0,1,1,1,0,0,1,0,0,38.4820928,76.18943403
835,0,1,1,0,1,0,0,0,0,1,1,38.49264667,76.19998789
199,0,0,0,1,1,0,0,0,1,1,1,38.49344303,76.20078426
451,0,0,1,1,1,0,0,0,0,1,1,38.49683855,76.20417978
211,0,0,0,1,1,0,1,0,0,1,1,38.51582324,76.22316447
837,0,1,1,0,1,0,0,0,1,0,1,38.51966586,76.22700709
1221,1,0,0,1,1,0,0,0,1,0,1,38.52617285,76.23351408
1349,1,0,1,0,1,0,0,0,1,0,1,38.53174394,76.23908517
611,0,1,0,0,1,1,0,0,0,1,1,38.53604948,76.24339071
355,0,0,1,0,1,1,0,0,0,1,1,38.54129223,76.24863346
707,0,1,0,1,1,0,0,0,0,1,1,38.5467377,76.25407893
1604,1,1,0,0,1,0,0,0,1,0,0,40.90625251,76.25688491
453,0,0,1,1,1,0,0,0,1,0,1,38.55342485,76.26076608
840,0,1,1,0,1,0,0,1,0,0,0,40.91143475,76.26206715
1348,1,0,1,0,1,0,0,0,1,0,0,40.91395109,76.26458349
1168,1,0,0,1,0,0,1,0,0,0,0,43.29072275,76.28464632
1220,1,0,0,1,1,0,0,0,1,0,0,40.94507986,76.29571226
618,0,1,0,0,1,1,0,1,0,1,0,38.58974885,76.29709008
586,0,1,0,0,1,0,0,1,0,1,0,40.95066898,76.30130138
865,0,1,1,0,1,1,0,0,0,0,1,38.60860544,76.31594667
1377,1,0,1,0,1,1,0,0,0,0,1,38.61742745,76.32476867
626,0,1,0,0,1,1,1,0,0,1,0,38.62341049,76.33075172
227,0,0,0,1,1,1,0,0,0,1,1,38.63369174,76.34103297
625,0,1,0,0,1,1,1,0,0,0,1,38.63473861,76.34207984
1249,1,0,0,1,1,1,0,0,0,0,1,38.64008571,76.34742694
1633,1,1,0,0,1,1,0,0,0,0,1,38.64549263,76.35283386
330,0,0,1,0,1,0,0,1,0,1,0,41.00895178,76.35958418
834,0,1,1,0,1,0,0,0,0,1,0,41.0478117,76.3984441
1098,1,0,0,0,1,0,0,1,0,1,0,41.05768764,76.40832004
164,0,0,0,1,0,1,0,0,1,0,0,43.4231012,76.41702478
617,0,1,0,0,1,1,0,1,0,0,1,38.71148389,76.41882511
1138,1,0,0,0,1,1,1,0,0,1,0,38.71176867,76.4191099
233,0,0,0,1,1,1,0,1,0,0,1,38.73573755,76.44307878
242,0,0,0,1,1,1,1,0,0,1,0,38.74030823,76.44764946
241,0,0,0,1,1,1,1,0,0,0,1,38.74257446,76.44991569
594,0,1,0,0,1,0,1,0,0,1,0,41.10010739,76.45073979
1130,1,0,0,0,1,1,0,1,0,1,0,38.74672579,76.45406702
1856,1,1,1,0,1,0,0,0,0,0,0,41.12597924,76.47661164
868,0,1,1,0,1,1,0,0,1,0,0,38.77176428,76.4791055
992,0,1,1,1,1,1,0,0,0,0,0,38.77520798,76.4825492
1472,1,0,1,1,1,0,0,0,0,0,0,41.13438352,76.48501592
1888,1,1,1,0,1,1,0,0,0,0,0,38.77812942,76.48547065
